State,Participation,English,Math,Reading,Science,Composite
National,46,20.1,20.4,21.2,20.6,20.7
Alabama ,100,18.5,18.1,19.3,18.8,18.8
Alaska ,33,18.8,20,21,20.1,20.1
Arizona ,71,18,19.3,19.5,19.1,19.1
Arkansas ,100,18.7,18.4,19.4,19.1,19
California ,19,23.1,22.9,23.8,22.8,23.3
Colorado ,25,23.6,23.1,24.4,23.4,23.7
Connecticut ,19,26.3,25.1,26.5,25.3,25.9
Delaware ,11,24.4,23.2,25.1,23.7,24.2
District of Columbia ,33,23.2,22.3,23.9,22.6,23.1
Florida ,46,20.1,19.8,21.7,20.2,20.6
Georgia ,43,21.3,21,22.5,21.6,21.7
Hawaii ,82,17.2,18.6,19.1,18.7,18.5
Idaho ,28,22.1,21.9,23.8,22.4,22.7
Illinois ,31,24.9,24.1,25.1,24.1,24.7
Indiana ,25,21.9,22.4,23.3,22.2,22.6
Iowa ,68,20.1,20.5,22,21.3,21.1
Kansas ,82,19.5,20,21,20.4,20.4
Kentucky ,100,18.9,19,20.1,19.6,19.5
Louisiana ,100,18.3,18.1,19.1,18.9,18.7
Maine ,5,25,24,25.8,24.2,24.9
Maryland ,19,23.7,22.9,24.6,23.4,23.8
Massachusetts ,18,26,25.6,26.6,25.4,26
Michigan ,17,24.6,24.1,25,24.1,24.6
Minnesota ,92,20,21.3,21.8,21.5,21.3
Mississippi ,100,17.8,17.7,18.5,18.4,18.2
Missouri ,78,20.1,20.1,21.3,20.8,20.7
Montana ,100,18.7,19.8,20.4,20,19.9
Nebraska ,100,19.2,19.7,20.2,20,19.9
Nevada ,100,16.7,18,18.3,18.1,17.9
New Hampshire ,12,25.7,25.2,26.2,25.3,25.7
New Jersey ,23,24.5,24,24.7,23.7,24.4
New Mexico ,56,18.1,18.8,20.1,19.6,19.3
New York ,20,24.5,24.5,25.4,24.6,24.9
North Carolina ,100,17.3,18.9,19.5,18.9,18.8
North Dakota ,94,18.2,19.6,20.1,20.1,19.6
Ohio ,100,18.8,19.8,20.4,20,19.9
Oklahoma ,100,17.9,18,19.5,18.9,18.7
Oregon ,42,20,20.6,21.9,20.8,21
Pennsylvania ,15,23.4,23.2,24.3,23.4,23.7
Rhode Island ,11,25.1,23.9,25.7,24.1,24.8
South Carolina ,76,17.3,18.3,19,18.6,18.4
South Dakota ,70,20.7,21.5,22.4,21.9,21.7
Tennessee ,100,19.1,18.7,19.6,19.1,19.3
Texas ,38,19.1,20.1,20.8,20.4,20.2
Utah ,100,19.3,19.7,21,20.3,20.2
Vermont ,23,23,22.4,24.5,23,23.3
Virginia ,19,24.2,23.5,25.2,24,24.4
Washington ,20,22.2,22.5,23.7,22.6,22.9
West Virginia ,38,20.6,19.8,21.8,20.9,20.9
Wisconsin ,100,19.1,19.9,20.5,20.3,20.1
Wyoming ,100,18.6,19.3,20.2,20,19.7
